Afghanistan,2015,34413603,3.077083595
Afghanistan,2016,35383128,2.778317409
Afghanistan,2017,36296400,2.548346644
Afghanistan,2018,,2.3847611
Afghanistan,2019,,2.311817217
Albania,2015,2880703,-0.291205787
Albania,2016,2876101,-0.159880412
Albania,2017,2873457,-0.091972294
Albania,2018,,-0.246732042
Albania,2019,,-0.426007367
Algeria,2015,39728025,2.045387243
Algeria,2016,40551404,2.051354584
Algeria,2017,41389198,2.044952503
Algeria,2018,,2.00737383
Algeria,2019,,1.933950191
American Samoa,2015,55812,0.037633397
American Samoa,2016,55741,-0.12729377
American Samoa,2017,55620,-0.217311352
American Samoa,2018,,-0.279065762
American Samoa,2019,,-0.276230801
Andorra,2015,78011,-1.529058438
Andorra,2016,77297,-0.919469738
Andorra,2017,77001,-0.383673623
Andorra,2018,,0.006493211
Andorra,2019,,0.176453843
Angola,2015,27884381,3.438850684
Angola,2016,28842484,3.37827278
Angola,2017,29816748,3.322080998
Angola,2018,,3.276133875
Angola,2019,,3.242982603
Antigua and Barbuda,2015,93566,1.078837937
Antigua and Barbuda,2016,94527,1.021843835
Antigua and Barbuda,2017,95426,0.946557003
Antigua and Barbuda,2018,,0.89718512
Antigua and Barbuda,2019,,0.860380481
Argentina,2015,43131966,1.078001344
Argentina,2016,43590368,1.057181578
Argentina,2017,44044811,1.037133897
Argentina,2018,,1.015808349
Argentina,2019,,0.993397493
Armenia,2015,2925553,0.450500903
Armenia,2016,2936146,0.361431439
Armenia,2017,2944809,0.294612228
Armenia,2018,,0.236306379
Armenia,2019,,0.201539723
Aruba,2015,104341,0.544892394
Aruba,2016,104872,0.50761773
Aruba,2017,105366,0.469944453
Aruba,2018,,0.453575639
Aruba,2019,,0.442121959
Australia,2015,23815995,1.439216653
Australia,2016,24190907,1.561940498
Australia,2017,24601860,1.684523108
Australia,2018,,1.536105516
Australia,2019,,1.515984454
Austria,2015,8642699,1.120992502
Austria,2016,8736668,1.081396299
Austria,2017,8797566,0.694621104
Austria,2018,,0.487071925
Austria,2019,,0.412539809
Azerbaijan,2015,9649341,1.191209858
Azerbaijan,2016,9757812,1.11785721
Azerbaijan,2017,9854033,0.981261805
Azerbaijan,2018,,0.866316916
Azerbaijan,2019,,0.837019639
Bahamas,2015,374206,2015
Bahamas,2016,377931,2016
Bahamas,2017,381761,2017
Bahamas,2018,,2018
Bahamas,2019,,2019
Bahrain,2015,1371851,2.642471156
Bahrain,2016,1425791,3.856582461
Bahrain,2017,1494074,4.677986951
Bahrain,2018,,4.921161372
Bahrain,2019,,4.469239009
Bangladesh,2015,156256276,1.117283565
Bangladesh,2016,157970840,1.091300482
Bangladesh,2017,159670593,1.070244022
Bangladesh,2018,,1.050044649
Bangladesh,2019,,1.042001128
Barbados,2015,285324,0.175042007
Barbados,2016,285796,0.165289294
Barbados,2017,286233,0.152789486
Barbados,2018,,0.142439723
Barbados,2019,,0.133875829
Belarus,2015,9489616,0.159300802
Belarus,2016,9501534,0.12551111
Belarus,2017,9498264,-0.034421419
Belarus,2018,,-0.155570407
Belarus,2019,,-0.17564847
Belgium,2015,11274196,0.579446242
Belgium,2016,11331422,0.506300002
Belgium,2017,11375158,0.385228018
Belgium,2018,,0.455184695
Belgium,2019,,0.497584972
Belize,2015,360933,2.118799855
Belize,2016,368400,2.047695884
Belize,2017,375769,1.980528851
Belize,2018,,1.92457577
Belize,2019,,1.883110736
Benin,2015,10575952,2.771714168
Benin,2016,10872067,2.761409493
Benin,2017,11175204,2.750055592
